а-агш	а-агш (абх.) Salalbana L. Уапшы псахъвакIахвхва\n1. ива белая;\n
щтийра	щтийра\n1. отправитьотправить сообщениеасальа́мшвъа щти́йраотправить приглашениеагIазшIы́тра щти́йра
щтийыгIв	щтийыгIв\n1. отправительотправитель письмаасальа́мшвъа ащти́йыгIв
щтира	щтира\n1. направление направление в искусстве аискусства анархара направление на работу нхара дщтира\n2. перевод перевод статьи астатья атакIра перевод по почте апочтала ахча щтира\n3. увольнение увольнение в запас запас йщтира получить увольнениерхвитра гIадхра (гIахвра)
щтIацIарта	щтIацIарта\n1. сберегательный сберегательная книжка ахча алацIага книжкасберегательная касса (сберкасса) ахча хчарта касса
щхай	щхай Juniperus L.\n1. можжевельник;\nВо флоре КЧР встречается четыре вида можжевельника. В их числе кустарники и деревья.Растет на скалах, каменистых местах, щебнистых склонах. Деревянистые виды дают ценную древесину, декоративны.
щхарпсыга	щхарпсыга Clematvitalba L.\n1. ломонос виноградолистный;\nДеревянистая лиана до 10 м высотой. Листья с лопостями, похоже на листья винограда. Цветет в июне-июле, плодоносит в сентябре.Растение ядовитое, медоносное, декоративное. Растет у изгородей, в лесах и кустарниках.
щхахIвра	щхахIвра Coronilla coronata L.\n1. вязель корончатый;\nРастение сизое. Стебли прямые. Кисть 10-20 цветковая. Листья из 9-13 листочков. Венчик около 10 мм длины. Высота 25-50 см. Многолетник, цветет с мая по август. Встречается в лесах и кустарниках. Ценное кормовое растение.Растение медоносное, декоративное.
щхацIычв	щхацIычв Echium vulgare L. Уапшы хIвратлакъыца\n1. синяк обыкновенный;\n
щхей	щхей Grossularreclinata (L.) Mill. Уапшы швгъырыб\n1. крыжовник отклоненный;\n2. крыжовник обыкновенный;\n
щхъагъьаса	щхъагъьаса Acer trautvetteri Medw L.\n1. клен Траутфеттера;\nВысокое дерево до 20 м высотой, растет в горных лесах;\n листья крупные, лопастные, лопасти листьев со многими зубцами;\n листья снизу желтоватые.Древесина очень твердая, абазины из нее получают (делают) ручки для топора, сани, лыжи и многое другое (мебель).
щхъаджыш	щхъаджыш Allium saxatile L.\n1. лук скальный;\nМноголетнее растение высотой до 10-15 см. Цветет в июле-августе, листья длинные, листья цветка белые или бледно-розовые с красноватой средней жилкой. Цветоножки в 3-4 раза длиннее околоцветника.Растет на скалах.
щхъадзыхIвы	щхъадзыхIвы Rhamnus microcarpa Boiss (Rh. cordata medw.).\n1. жестер мелкоплодный;\nВысокогорный кустарник до 30 см высотой. Листья мелкие, округлые. Цветет в мае-июне, плоды созревают в сентябре. По цвету плоды черные до 4 мм длины.Растет в трещинах скал субальпийского и альпийского пояса.
щхъакъарамфиль	щхъакъарамфиль Dianthus Petraeus Bieb.\n1. гвоздика скальная;\nМноголетник 20-40 см высотой. Листья узкие, нитевидные. Цветки одиночные, сидят на верхушках многочисленных стеблей. Цветет в июне-июле.Растет на лугах, на щебнистых местах субальпийского пояса. Декоративна, заслуживает введения в культуру.
щхъакъармыш	щхъакъармыш MyosotalpestrSchmidt.\n1. незабудка альпийская;\nТравянистый многолетник до 10-20 см высотой. Цветки темно-голубые. Цветет в июне-июле.Растет в высокогорной части, чаще встречается на лугах, редко выходит на каменистых склонах.Декоративна. Заслуживает введения в культуру. Засухоустойчива.
щхъакъвашвхIа	щхъакъвашвхPapaver oreophilum Rupr.\n1. мак горный;\nМноголетник с деревянистым основанием стебля высотой до 10-20 см. Цветоносы длинные, обычно с двумя цветками. Лепестки кирпично-красные. Коробочка слаборебристая.В КЧР растет на лугах и каменистых местах субальпийского и альпийского пояса.
щхъамыгърий	щхъамыгърий Rubus caucasicus Focke.\n1. ежевика кавказская;\nПолукустарник с дугообразно изогнутыми или почти лежачими на верхушке ветвящимися и укореняющимися побегами. Встречается по Лабе и Белой (окрестности Хамышки). Плоды широкояйцевидные до 1 см длиной, зрелые — черные без налета. Декоративна. Может использоваться для создания подлеска, закрепления склонов. Тенелюбива, засуху переносит плохо. Размножается семенами, корневыми черенками и ускоренными верхушками стеблей.
щхъаназ	щхъаназ Pinus montana Mill.\n1. сосна горная;\nКустарник до 5 м высотой. Молодые побеги серовато-зеленые. Кора ветвей и стволов бурая. Хвоя по две, зеленая, несколько скрученная. Шишки вытянутые, зрелые — темно-бурые. Семена бурого цвета.Родина: горы Европы.В КЧР встречается в горных лесах Отрадно-Кубанской части в виде кустарника с искривленными стволами.Пригодна для одиночных и групповых посадок, облесения склонов, оврагов.Размножается семенами.
щхъанарат	щхъанарат Juniperus sabina L.\n1. можжевельник казацкий;\nКустарник с лежачими ветвями. Побеги молодые темно-зеленоватые. Кора ветвей и стволов красноватая. Хвоя накрест супротивная. Шишкоягоды шаровидные, одиночные.Родина: Европа, Кавказ, горы Средней Азии.В КЧР встречается по опушкам леса в предгорных и горных районах.Декоративен, пригоден для озеленения. Размножается семенами, отводками, черенками. Употребляется на различные мелкие поделки, для оболочки карандашей. Ягоды имеют значение как лекарственное средство, а также при изготовлении пива.
щхъасана	щхъасана Ribes alpium L.\n1. смородина альпийская;\nКустарник до 2,5 см высотой.Распространена к западу от Теберды до верхнего горного пояса, на скалистых местах. Разводится в культуре как декоративное растение. Используется в одиночных посадках, для живых изгородей, бордюров. Ягоды шаровидные, 7-9 мм диаметром, зрелые — красные, голые. Собирают для пищи, варят, употребляют в сыром виде. Размножается семенами, делением куста, отводками и черенками.
щхъатоп	щхъатоп\n1. гриб;\nОдна из разновидностей грибов, не содержащих хлорофилла и питающихся готовыми органическими веществами дерева. Вегетативное тело состоит из грибницы, на которой образуется плодовое тело. Грибница находится в стволе дерева. Разновидность этого гриба — сапрофит.
щхъахбгъьыкI	щхъахбгъьыкI Trifolium ambiguum Bieb.\n1. клевер сходный;\nКормовое, медоносное растение. Стебли до 5-40 см высотой. Цветоносные побеги, несущие по 1-4 головки на длинных ножках. Головки яйцевидные, венчик белый. Цветет в июне-августе.Обычное растение альпийских лугов и ковров, особенно на вытоптанных и унавоженных местах, где образует чистые ценозы.
щхъахIврачвкъьа	щхъахIврачвкъьа Polygonum alpium All.\n1. горец горный, альпийский;\n2. гречиха кислая;\nКорневищный многолетник до 15-70 см высотой. Листья короткочерешковые, ланцетные. Цветки белые, собраны в кистях на безлистной метелке. Цветет в конце мая-августе.Растет на лугах, в луговых степях, на опушках, старых залежах.В пищу употребляются молодые стебли. Они идут для начинки пирогов, для зеленых щей, салатов.
щхъацаранчIв	щхъацаранчRumex alpinus L.\n1. щавель альпийский;\nМноголетник высотой до 1,5 м с очень толстыми корневищами. Листья широкояйцевидные, кверху тупые, с сердцевидным основанием. Семянка кверху и книзу суженная.Растение высокогорий, в КЧР растет на альпийских и субальпийских лугах, особенно на тырлах.
щхъачай	щхъачай Rhododendron caucasicum Pall.\n1. рододендрон кавказский;\n
щыга	щыга\n1. смертоносный смертоносное оружие хъщгIага абджьар
ъан-анпса	ъан-анпса Tussilago farfara L.\n1. мать-и-мачеха обыкновенная;\nРастение с длинным подземным корневищем, из которого ранней весной вырастают цветущие стебли, а позже прикорневые листья. Цветочный стебель покрыт белыми волосками и многочисленными, часто буроватыми чешуйчатыми листочками, прижатыми к стеблю. Цветки желтые, собранные в небольшие соцветия — корзинки. Прикорневые листья появляются после окончания цветения, сердцевидно-зубчатые;\n молодые с обеих сторон в защиту от холода и сухого ветра покрыты беловойлочным пушком. Плоды с волосками. Зацветает ранней весной и долго цветет. Растет на глинистых и песчаных почвах, на степных склонах, в оврагах.Медоносное и лекарственное растение.
ъачIвагIагIв	ъачIвагIагIв\n1. специалист специалист сельского хозяйства акытмлыкврхIара аъачIвагIагIв
ъашвгьагьахвыц	ъашвгьагьахвыц Malva pusilla Smith.\n1. мальва приземистая;\n2. просвирник приземистый;\nМедоносное однолетнее растение до 10-30 см высотой. Стебли приподнимающиеся. Листья округлые с выемкой у черешка. Цветки белые, мелкие. Цветет в апреле-июле. Плоды округлые, слабо опушенные.Растет повсеместно, обычно на сорных местах, вдоль дорог, у жилья, от низменности до среднегорья. Растение медоносное.
ъашвы	ъашвы Malva L. Уапшы матахъвай\n1. мальва;\n2. просвирник;\n
ъашвыхIвра	ъашвыхIвра Malva L. Уапшы матахъвай\n1. мальва;\n2. просвирник;\n
ъашгьажьхвыц	ъашгьажьхвыц Malva pusilla Smith. Уапшы ъашвгьагьахвыц\n1. мальва приземистая;\n2. просвирник приземистый;\n
ъизин	ъизин\n1. виза виза на въезд в страну къральталга хвитнагвиза директора адиректор йырхвитра
ъизин амамызлара	ъизин\n1. виза виза на въезд в страну къральталга хвитнагвиза директора адиректор йырхвитра
ъизин амтра	ъизин\n1. виза виза на въезд в страну къральталга хвитнагвиза директора адиректор йырхвитра
ъизин змам	ъизин\n1. виза виза на въезд в страну къральталга хвитнагвиза директора адиректор йырхвитра
ъизиныдара	ъизиныдара\n1. бесправие бесправие женщин в капиталистических странахакапиталист къральква рпны ахIвсса хвитнагрымамызлара (рхвитнагIадара)
эвен	эвен *(заимствовано из русского)\n1. эвенский эвенский язык эвен бызшва
эвенк	эвенк *(заимствовано из русского)\n1. эвенкийский эвенкийский язык эвенк бызшва
эволюционизм	эволюционизм *(заимствовано из русского)\n1. эволюционизм
эквадор	эквадор *(заимствовано из русского)\n1. эквадорский эквадорское население Эквадор абзазагIвчва
экземпляр	экземпляр *(заимствовано из русского)\n1. экземпляр
экзогамия	экзогамия *(заимствовано из русского)\n1. экзогамия
эклектизм	эклектизм *(заимствовано из русского)\n1. эклектизм эклектизм в философии философия апны эклектизм
экология	экология *(заимствовано из русского)\n1. экология
экспансионизм	экспансионизм *(заимствовано из русского)\n1. экспансионизм экспансионизм американского империализма америка империализм азкспансионизмра
экспансия	экспансия *(заимствовано из русского)\n1. экспансионистский экспансионистская политика экспансия политика\n2. экспансия
экспатриация	экспатриация *(заимствовано из русского)\n1. экспатриация
эксперт	эксперт *(заимствовано из русского)\n1. эксперт\n2. экспертный экспертная комиссия эксперт комиссия
экспозиция	экспозиция *(заимствовано из русского)\n1. экспозиция экспозиция выставки агIарбарта аэкспозиция
экспонат	экспонат *(заимствовано из русского)\n1. экспонат
экспорт	экспорт *(заимствовано из русского)\n1. экспорт\n2. экспортный экспортные товары акъраль йтыргауа апкъыгIваква, ахIапчыпква
экспрессионизм	экспрессионизм *(заимствовано из русского)\n1. экспрессионизм
экспроприация	экспроприация *(заимствовано из русского)\n1. экспроприация экспроприация экспроприатороваэкспроприаторква экспроприация йчпара (абуржуазия рхъатачмлыкв рыквхра)
экстремизм	экстремизм *(заимствовано из русского)\n1. экстремизм
экстремист	экстремист *(заимствовано из русского)\n1. экстремист\n2. экстремистский экстремистская газета экстремист газета экстремистский взгляд экстремист азхъвыцща
электроадгалра	электроадгалра *(заимствовано из русского)\n1. электрификация электрификация страны акъраль электрокъарула йадгалра
электрокъару	электрокъару *(заимствовано из русского)\n1. электроэнергия
электрон	электрон *(заимствовано из русского)\n1. электронный электронно-вычислительный центр электрон-пхьадзарта квта
электростанция	электростанция *(заимствовано из русского)\n1. электростанция (электрическая станция)
эмпиризм	эмпиризм *(заимствовано из русского)\n1. эмпиризм
эмпириокритицизм	эмпириокритицизм *(заимствовано из русского)\n1. эмпириокритицизм
эндогамия	эндогамия *(заимствовано из русского)\n1. эндогамия
энергетика	энергетика *(заимствовано из русского)\n1. энергетика энергетика страны акъраль аэнергетика\n2. энергетический энергетические ресурсы аэнергетика гIалцIыртаква
эпидемия	эпидемия *(заимствовано из русского)\n1. эпидемия эпидемия гриппа амхIвамса тшауацIнахра
эпицентр	эпицентр *(заимствовано из русского)\n1. эпицентр эпицентр землетрясения адгьылцIсра аквта
эпопея	эпопея *(заимствовано из русского)\n1. эпопея эпопея гражданской войны къральгайсра аэпопея
эпос	эпос *(заимствовано из русского)\n1. эпос эпосы народов СССР СССР аугIаква рэпосква
эпоха	эпоха *(заимствовано из русского)\n1. эпохальный эпохальные события тлаханкI апны мгIан ду зму агIаншараква
эра	эра *(заимствовано из русского)\n1. эра
эрзя	эрзя *(заимствовано из русского)\n1. эрзя\n2. эрзянский эрзянский язык эрзя бызшва
эсер	эсер *(заимствовано из русского)\n1. эсер\n2. эсеровский эсеровский лозунг эсер азшIытра
эскимос	эскимос *(заимствовано из русского)\n1. эскимосский эскимосский язык эскимос бызшва
эскорт	эскорт *(заимствовано из русского)\n1. эскорт
эстетизм	эстетизм *(заимствовано из русского)\n1. эстетизм
эстон	эстон *(заимствовано из русского)\n1. эстонский эстонский язык эстон бызшва
этап	этап *(заимствовано из русского)\n1. этап этапы строительства социалистического общества социализм жвлара уыхвара атлаханква
этика	этика *(заимствовано из русского)\n1. этика\n2. этический этические нормы поведения анамыс щагаща ахабзаква
эфиоп	эфиоп *(заимствовано из русского)\n1. эфиопский эфиопский народ эфиоп угIа
эфир	эфир *(заимствовано из русского)\n1. эфир
юбиляр	юбиляр *(заимствовано из русского)\n1.  юбиляр завод-юбиляр юбиляр завод
югослав	югослав *(заимствовано из русского)\n1. югославский югославская армия югослав ры
юкагир	юкагир *(заимствовано из русского)\n1. юкагирский юкагирский язык юкагир бызшва
юнкор	юнкор *(заимствовано из русского)\n1. юнкор (юный корреспондент)
юннат	юннат *(заимствовано из русского)\n1. юннат (юный натуралист)
юристкьангьашагIв	юристкьангьашаг*(заимствовано из русского)\n1. юристконсульт юристконсульт издательства агIацIщтырта аюристкьангьашагIв
юстица	юстица *(заимствовано из русского)\n1. юстиция
ядро	ядро *(заимствовано из русского)\n1. ядерный ядерное оружие ядро абджьар\n2. ядро ядро комсомольской организации акомсомол организация аджьардамчва
ядро абджьар змам	ядро *(заимствовано из русского)\n1. ядерный ядерное оружие ядро абджьар\n2. ядро ядро комсомольской организации акомсомол организация аджьардамчва
ядро абджьар ъаным	ядро *(заимствовано из русского)\n1. ядерный ядерное оружие ядро абджьар\n2. ядро ядро комсомольской организации акомсомол организация аджьардамчва
якобин	якобин *(заимствовано из русского)\n1. якобинский якобинская диктатура якобин диктатура якобинское собрание якобин айззара
якобинец	якобинец *(заимствовано из русского)\n1. якобинец
ячейка	ячейка *(заимствовано из русского)\n1. ячейка
д	*д*\n1.\n1) лично-местоименный глагольный аффикс 3 л. ед. ч. класса человека;\n является показателем: а) субъекта непереходных глаголов (1 и 2 примеры);\n б) прямого объекта двухличных переходных глаголов (3-й пример);\n в) субъекта 3 л. мн. ч. трёхличных переходных глаголов (4-й пример)йара дгIайтI он пришёллара дгIайтI она пришлаачкIвын акъала дыргатI мальчика повезли в городакнигаква апхIвыспа йылдыргатI они попросили девушку отнести книги\n2) глагольный аффикс места действия около, возле, при, у, за;\nадоска сыдгылапI я стою у доскиастоль дыдчIвалапI он сидит за столоматдзы адгылазлара стоять около дома
да	*да\n1.\n1) вопросительный аффикс класса людей в причастных формах кто;\nйызбада? кто видел??йгIайда? кто пришёл??йцада? кто пошёл??\n2) аффикс отрицания имён без;\nтшыда без лошадихъада без головного убора
дза	*дза́*\n1.\n1) аффикс, указывающий на конечный пункт: до;\nЧеркесск уалагата Москвадза от Черкесска до Москвы\n2) суффикс, передающий оттенки: в самом деле;\n действительно;\n совсем, окончательно;\n именно;\nауасадза йчпа сделай именно такакIартIоф йыдздзатI картофель окончательно испортился\n3) аффикс, передающий интенсивность качества, напр.:йкъапщдзапI очень красный\n4) аффикс превосходной степени, напр.:абыхъв хIагIадза высочайшая вершина
жв	*жв\n1.\n1) суффикс имен, указывающий на старость, дряхлость кого-чего-л., напр.:цгвыжв старая кошкатшыжв старая лошадь
з	*з*\n1.\n1)  \n1) глагольный аффикс потенциалиса (возможности);\n обозначает умение сделать что-л., напр.:запхьарауметь (суметь) читать чтозыгIврауметь (суметь) писать чтозчважварауметь (суметь) произнести речь\n2) глагольный аффикс объектной версии;\n обозначает, что действие совершается в пользу косвенного объекта, напр.:йзычпара делать, сделать что для когоуйзапхьа прочти емуйзыгIвра написать для него\n3) относительно-местоименный аффикс;\n выступает в качестве: а) субъекта причастий, образованных от переходных глаголов (1-й пример);\n б) косвенного объекта при переходных и непереходных глаголах (2-й и 3-й примеры):йызхIваз сказавший что-тосызлырбаз тот, которому она показала меняхIызцхърыгIаз тот, которому мы помогли\n4) озвончённый вариант *с*;\n см. *с* 1б)
зтын	*зтын*\n1.\n1) (самостоятельно не употребляется)аква акIвмызтын, хIара хIджвыквылрын если бы не дождь, мы бы уехали
и	*и\n1.\n1) союзный аффикс, соединяет однородные члены предложения и, да;\nажви ачви корова и волМурати АсхIади Мурат да Асхад
й	*й*\n1.\n1) глагольный аффикс 3 л. ед. ч.;\n выступает в качестве: а) субъекта переходного глагола класса мужчин (1-й пример);\n б) субъекта непереходного глагола класса вещей (2-й пример);\n в) прямого объекта переходного глагола класса вещей (3-й прмер);\n г) показателя косвенного объекта класса мужчин (4-й пример)ауи асаби рпны дыйгатI он понёс ребёнка домойамашина акъала йцатI машина ушла в городайсчва айсра йшпшцIалуаз сара йызбатI я видел, как бойцы шли в атакудыйсырбатпоказал её (его) ему\n2) глагольный аффикс, показатель субъекта 3 л. мн. ч., напр.:апионерква гIамдара йцатI пионеры пошли на экскурсию\n3) мест. притяж. аффикс 3 л. ед. ч. класса мужчин, напр.:йхъылпа его шапкайкъарандаш его карандаш\n4) относительно-местоименный аффикс 3 л. ед. ч., образующий причастные формы;\n выступает в качестве: а) субъекта причастий, образованных от непереходных глаголов (1-й пример);\n б) прямого объекта причастий, образованных от переходных глаголов (2-й пример)йщтахIахъв дзы гьацIчIвум посл. под лежачий камень вода не течётйысчпауа ауыс работа, которую я выполняю
ква	*ква*\n1.\n1) аффикс модальности финитных глаголов, напр.:йцакватIони пошли (из них, из общего числа, некоторые пошли)хIкыт йгIатыцIыз азджьакI арыпхьагIвквахатазджьакI инженерквахатI одни выходцы из нашего аула стали учителями, другие - инженерами
кI	*кI*\n1.\n1) именной аффикс единичности и неопределённости, напр.:пакI дрымапних [один] сынахIврапшдзаква роза къапщыкI рылансреди цветов была [одна] красная розаархъа тшыкI хIвуанна лугу паслась лошадь (какая-то, неопределённая)хъылпакI сзыхвгIакупи мне шапку (какую-то, неопределённую)
л	*л*\n1.\n1) лично-местоименный глагольный аффикс 3 л. ед. ч. класса женщин;\n является показателем: а) субъекта переходных глаголов (1-й пример);\n б) косвенного объекта двух личных непереходных глаголов (2-й пример);\n в) косвенного объекта трёхличных переходных глаголов (3-й пример)асаби ла дгIалгтI она принесла ребёнкаслыхIватI я её попросиласаби атажв длыстатI я отдал ребёнка бабушке\n2) лично-местоименный аффикс принадлежности имён 3 л. ед. ч. класса женщин, напр.:лаба её отецлкнига её книгалынхара её работалъахIыльчва её родственники\n3) глагольный аффикс постоянности, непрерывности действия, напр.:дынхалунон постоянно (непрерывно) работалдхъыччалун он постоянно смеялся
м	*м*\n1.\n1) аффикс отрицания инфинитных глагольных форм, напр.:ауи йдерс йыймырдыруата апхьарта дыгьгIайуам он не приходит в школу, не выучив урока\n2) аффикс отрицания финитных глагольных форм (в сочетании с формантом гь)дгьымцатI он не пошёлдгьампхьатI он не учился
ма	*ма*\n1.\n1) аффикс отыменных глаголов, указывающий на отношение косвенного объекта к субъекту, напр.:ауи апхIвыспа дпшдзапI эта девушка красиваяауи апхIвыспа дсымапшдзапI эта девушка мне кажется красивой
мищтI	*мищтI\n1.\n1) частица вопр. ли, разве, неужели;\nауи йакIвмищтI йгIайыз? он ли пришёл??ауаса ауи акIвмищтI йшаъу?разве это так?, неужели это так?
р	*р*\n1.\n1) лично-местоименный глагольный аффикс 3 л. мн. ч.;\n является показателем.: а) субъекта переходных глаголов (1-й пример);\n б) объекта переходных глаголов (2-й пример):йгIасархIвтI они сказали мнейрасхIвтI я сказал им\n2) местоименно-притяжательный аффикс имён 3 л. мн. ч., напр.:ртдзы их домрырхъа их полерынхара их работа\n3) глагольный аффикс побудитель ности: а) присоединяясь к непереходному глаголу, обусловливает появление в нём лица прямого объекта, тем самым превращая непереходный глагол в переходный (1-й и 2-й примеры);\n б) присоединяясь к переходному глаголу, обусловливает появление в нём лица косвенного объекта (3-й и 4-й примеры):дынсырхатI я его заставил работатьдсырчатI я его накормилйылсрычпитI я её заставляю делатьауи йылсылрхIватI я её заставил высказать
с	*с*\n1.\n1) лично-местоименный глагольный аффикс 1 л. ед. ч.;\n является показателем: а) субъекта непереходных глаголов (1-й и 2-й примеры);\n б) (перед звонким согласным – *з*) субъекта переходных глаголов (3-й и 4-й примеры);\n в) прямого объекта переходных двухличных глаголов (5-й и 6-й примеры);\n г) косвенного объекта трехличных переходных глаголов (7-й пример):сара сынхитI я работаюсара Москва саъан я был в Москвеари ашвъа сара йызгIвытI это письмо написал яакнига сара йнасахвтI книгу взял яауат сдыргврыгъьатI они обрадовали менясахща атеатр слырцатI сестра повела меня в театрлара йсылтатI ашвъаква она отдала мне документы\n2) лично-местоименный аффикс притяжательности имён 1 л. ед. ч., напр.:сара схъылпа моя шапкасара сапхьага мой учебниксара сгIвыра моя рукопись
у	*у*\n1.\n1) лично-местоименный глагольный аффикс 2 л. ед. ч. класса мужчин;\n является показателем: а) субъекта непереходных глаголов (1-й и 2-й примеры);\n б) субъекта двухличных переходных глаголов (3-й пример);\n в) прямого объекта двухличных переходных глаголов (4-й пример);\n г) косвенного объекта трёхличных переходных глаголов (5-й пример):уара уынха ты работайуара уапхьа ты учисьанхара уара йучпатI работу выполнил тыусырчапI я тебя накормлюйуылрычпатI она принудила тебя сделать то\n2) притяжательный аффикс имён 2 л. ед. ч. класса мужчин, напр.:уаща твой братукнигатвоя книга (мужчины)уынхаратвоя работа (мужчины)
х	*х*\n1.\n1) глагольный аффикс повторно-многократного действия, напр.:гIацапахра вернуться, возвратитьсяйатаквцIахра заново сложитьйатагIвхра вновь написать
хъа (хъа)	*хъа* (*хъа)\n1.\n1) глагольный аффикс, обозначает нахождение или движение предмета над поверхностью чего-л., передаётся предлогом над, напр.:апстхIва ахва йахъадзгылапI туча стоит над горойархъа ахъыпссгIара пролететь над степью\n2) глагольный аффикс, обозначает обозначает движение предмета над поверхностью чего-л., перемещение через что-л., передаётся предлогом через;\nагвара хъыпара перепрыгнуть через изгородьатенгьыз хъысра переплыть море
хъа	*хъа* (*хъа)\n1.\n1) глагольный аффикс, обозначает нахождение или движение предмета над поверхностью чего-л., передаётся предлогом над, напр.:апстхIва ахва йахъадзгылапI туча стоит над горойархъа ахъыпссгIара пролететь над степью\n2) глагольный аффикс, обозначает обозначает движение предмета над поверхностью чего-л., перемещение через что-л., передаётся предлогом через;\nагвара хъыпара перепрыгнуть через изгородьатенгьыз хъысра переплыть море
ц	*ц*\n1.\n1) глагольный аффикс, обозначающий совместность действия, напр.:ацынхараработать вместе (совместно)ацыъазларапребывать (находиться) вместе гдеацбзазара жить вместе с кем
чIв	*чIв*\n1.\n1) глагольный аффикс;\n выражает принадлежность, напр.:ари ахъылпа сара йсчIвыпI эта шапка принадлежит мне, это моя шапкаари агIвыра сара йсчIвыпI эта рукопись принадлежит мне, это моя рукопись\n2) суффикс, образующий относительные прилагательные, напр.:джьчIвы дубовыйалчIвы ольховыйапхъачIви прошлыйайхамгIвачжелезнодорожный
шв	*шв*\n1.\n1) лично-местоименный глагольный аффикс 2 л. мн. ч. класса человека является показателем: а) субъекта непереходных глаголов (1-й пример);\n б) прямого объекта переходных глаголов (2-й пример);\n в) косвенного объекта двухличных непереходных глаголов (3-й пример);\n г) косвенного объекта трёхличных переходных глаголов (4-й пример):ари акнига швапхьама? вы прочитали эту книгу??сара швызбатI я видел васхIара хIшвыквчважватI мы говорили о васйшвлырхIвуштI она заставит вас сказать то\n2) лично-местоименный аффикс принадлежности имён. 2 л. мн. ч. класса человека, напр.:швчгIвыча ваша одеждашвынхара ваша работа
а	а*\n1.\n1) именной префикс определенности и совокупности однородных предметов, напр.:бналес (вообще)абналес (известный, конкретный)уасаовца (вообще)ауаса́а) овца (известная, конкретная)б) собир. овцы\n2) притяжательный префикс имен 3 л. ед. ч. класса вещей, напр.:арымдза ащапножка стула атшы алымхухо лошади \n3) лично-местоименный префикс 3 л. ед. ч. класса вещей;\n выполняет функции: а) субъекта двухличных переходных глаголов (1-й пример);\n б) косвенного объекта трехличных переходных глаголов (2-й пример);\n в) косвенного объекта двухличных непереходных глаголов (3-й пример):ахьта дащытI он замерз букв. его убил морозасуд далтатI она подала на него в судасаби ачIва дацхIатI ребёнок надкусил яблоко
аб	а́б\n1.\n1) козёл, козел кострированный (холщеный);\n
аба-па	аба-па́\n1.\n1) отец и сын, отец с сыном;\n
аба-пхIа	аба-пхIа́\n1.\n1) отец и дочь, отец с дочерью;\n
аба	аба*\n1.\n1) вопросительный глагольный префикс со значениями (куда?, где?) куда, где;\nдабацауа? куда он идет??дабаъу? где он??\n2) глаголный префикс взаимности, напр.:абартшхъвара хвалить друг другаабархъыччара смешить друг друга
абабара	абабара́\n1. неперех.\n1) видеться, увидеться друг с другом;\n встречаться, встретиться друг с другом;\n посещать, посетить друг друга;\n навещать, навестить друг друга;\nагIвайшвчва гьабабум, йашIашIпсгIитйадгылра гьрылшум загадка два брата друг с другом не видятся, друг друга любят, но встретиться не могутотгадка агIвылакI глаза\n2) перен. помогать, помочь друг другу;\nхIара хIабабитI мы помогаем друг другу
